통계표,계정코드,단위,가중치,변환,2000/01,2000/02,2000/03,2000/04,2000/05,2000/06,2000/07,2000/08,2000/09,2000/10,2000/11,2000/12,2001/01,2001/02,2001/03,2001/04,2001/05,2001/06,2001/07,2001/08,2001/09,2001/10,2001/11,2001/12,2002/01,2002/02,2002/03,2002/04,2002/05,2002/06,2002/07,2002/08,2002/09,2002/10,2002/11,2002/12,2003/01,2003/02,2003/03,2003/04,2003/05,2003/06,2003/07,2003/08,2003/09,2003/10,2003/11,2003/12,2004/01,2004/02,2004/03,2004/04,2004/05,2004/06,2004/07,2004/08,2004/09,2004/10,2004/11,2004/12,2005/01,2005/02,2005/03,2005/04,2005/05,2005/06,2005/07,2005/08,2005/09,2005/10,2005/11,2005/12,2006/01,2006/02,2006/03,2006/04,2006/05,2006/06,2006/07,2006/08,2006/09,2006/10,2006/11,2006/12,2007/01,2007/02,2007/03,2007/04,2007/05,2007/06,2007/07,2007/08,2007/09,2007/10,2007/11,2007/12,2008/01,2008/02,2008/03,2008/04,2008/05,2008/06,2008/07,2008/08,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12,2026/01,2026/02
"4.1.1.1. 생산자물가지수(기본분류)","        섬유사","2020=100","0.7","원자료","79.86","79.48","80.45","79.94","79.85","76.34","75.97","76.61","76.48","76.32","76.19","76.57","77.39","77.08","77.99","79.31","79.58","79.16","79.18","79.16","78.86","76.14","75.40","74.11","73.13","72.79","74.46","74.63","76.45","76.01","75.58","75.25","75.43","76.65","75.81","75.45","74.95","77.58","80.78","82.73","80.26","77.85","75.43","76.38","77.77","79.94","81.19","81.29","81.81","83.85","87.29","86.98","86.99","85.93","84.91","85.33","88.42","90.67","89.81","86.96","84.60","84.58","84.62","84.60","83.33","82.70","80.73","80.36","80.79","81.15","80.85","80.58","80.66","81.56","82.29","81.80","81.52","81.03","81.24","81.78","82.58","82.73","81.91","81.12","80.72","81.12","81.25","81.27","81.49","81.58","81.35","81.84","81.96","82.41","82.63","82.71","83.09","83.97","86.63","87.55","89.12","89.84","91.67","92.35","95.40","100.20","99.80","97.13","94.67","95.17","96.86","96.86","97.47","95.21","95.00","96.05","96.42","96.14","97.09","98.45","99.47","101.04","102.04","104.04","108.44","109.71","107.84","106.81","107.16","110.48","122.26","128.84","131.39","141.43","148.36","143.14","132.17","127.72","121.23","115.94","121.84","124.35","118.57","115.74","118.03","119.61","119.00","116.69","115.46","112.63","111.57","112.56","112.37","112.13","111.55","111.20","112.90","113.60","115.12","115.40","113.64","112.48","113.52","113.51","113.85","111.68","110.12","110.67","111.11","110.96","109.55","108.86","108.09","107.49","107.54","107.55","107.57","107.49","107.80","106.57","104.92","103.85","104.38","104.45","104.53","103.76","103.44","103.66","102.41","101.23","101.11","101.05","101.05","101.39","102.34","102.12","102.01","102.17","101.71","102.02","102.05","102.02","102.14","103.28","104.11","105.04","105.08","104.96","104.25","104.08","103.18","103.57","103.90","103.92","104.33","104.17","105.92","106.60","106.65","107.21","108.00","109.55","109.72","109.92","110.84","110.08","109.38","108.67","107.57","107.38","107.30","107.09","106.82","106.72","106.26","106.19","105.53","103.75","103.47","103.01","102.70","102.92","100.79","100.45","99.75","99.04","97.96","97.33","97.10","99.98","100.58","101.39","102.16","104.10","104.98","106.27","106.38","106.46","107.31","109.37","110.47","113.02","114.19","116.69","117.71","118.48","119.96","121.51","123.49","123.83","124.38","122.30","124.05","123.65","120.66","118.83","116.30","116.87","117.21","117.69","118.24","118.76","117.62","118.56","119.03","120.02","119.41","118.90","119.07","120.79","121.31","121.22","120.89","120.90","120.51","120.39","118.88","118.86","119.93","121.78","121.46","121.90","124.29","123.64","121.85","121.26","121.62","122.05","121.90","114.85","114.96","116.09","116.55","117.60"
"4.1.1.1. 생산자물가지수(기본분류)","          천연및화학섬유사","2020=100","0.5","원자료","73.70","73.29","74.34","73.94","73.84","70.01","69.61","70.30","70.17","69.98","70.12","70.53","71.33","70.92","71.74","73.09","73.42","72.96","72.98","72.96","72.76","69.80","69.00","67.59","66.51","66.15","67.97","68.15","70.14","69.57","69.10","68.82","69.02","70.36","69.44","69.05","68.50","71.37","74.77","76.73","74.13","71.59","69.05","70.09","71.60","73.91","75.26","75.38","75.91","78.09","81.70","81.36","81.36","80.20","79.12","79.58","82.75","84.93","83.99","80.98","79.17","79.14","79.19","79.29","77.49","76.73","73.95","73.36","73.98","74.42","74.00","73.62","73.73","75.10","76.12","75.40","75.01","74.34","74.61","75.31","76.39","76.58","75.51","74.38","73.81","74.37","74.57","74.60","74.90","75.04","74.74","75.44","75.59","76.27","76.54","76.62","77.18","78.46","82.20","83.50","85.71","86.64","89.10","90.06","94.30","101.09","100.57","96.87","93.49","94.19","96.54","96.50","97.38","94.17","93.88","95.36","95.88","95.47","96.81","98.71","101.57","103.48","104.76","107.29","112.88","114.50","112.11","110.82","111.26","115.47","130.26","138.40","139.63","149.47","158.39","151.46","136.91","131.00","122.92","115.89","123.57","126.70","119.26","115.65","118.71","120.61","119.81","116.73","115.09","111.51","110.31","111.63","111.37","111.04","110.28","109.81","112.29","113.44","116.02","116.87","113.91","111.04","112.31","112.29","112.48","108.82","106.44","107.37","108.08","107.85","106.13","104.99","103.99","103.01","103.08","103.10","103.57","103.79","104.54","104.63","102.39","101.12","101.14","101.25","100.92","100.04","99.51","99.87","99.71","97.79","97.90","97.79","97.94","98.44","99.97","99.65","99.65","99.87","99.42","99.90","99.90","99.85","100.02","101.19","102.28","103.50","103.41","103.38","102.47","102.36","101.19","101.80","102.23","101.99","102.18","101.98","104.68","105.64","105.53","106.41","107.69","109.95","110.23","110.55","111.27","110.03","108.91","108.27","107.32","107.02","106.60","106.28","105.85","105.78","105.11","104.61","104.29","103.60","103.36","103.60","103.28","103.34","101.04","99.79","98.87","97.94","96.81","96.39","96.43","100.97","101.92","103.21","104.61","107.39","108.39","108.66","108.82","108.94","109.79","112.79","114.39","117.53","119.26","121.32","122.41","123.14","124.83","125.80","128.88","128.57","128.81","125.68","127.36","126.50","122.17","119.33","117.44","118.38","118.38","118.09","118.95","118.32","117.64","119.35","119.50","120.52","119.54","118.72","119.34","122.09","122.92","122.77","121.96","122.27","121.64","121.02","118.81","118.97","120.69","123.41","122.98","123.53","126.75","126.15","123.78","122.41","122.79","123.37","123.10","113.59","113.72","115.26","115.91","117.36"
"4.1.1.1. 생산자물가지수(기본분류)","          기타섬유사","2020=100","0.2","원자료","94.77","94.77","94.77","93.74","93.74","93.74","93.74","93.74","93.74","93.74","91.86","91.86","92.51","93.01","94.26","94.84","94.62","94.62","94.62","94.62","93.67","93.67","93.67","93.67","93.67","93.67","93.67","93.67","93.67","94.26","94.26","93.67","93.67","93.67","93.67","93.67","93.67","93.67","94.26","95.43","94.84","94.18","93.53","93.53","93.53","93.96","93.96","93.96","94.18","94.40","95.43","95.43","95.49","95.49","95.27","95.27","96.74","98.62","98.62","97.97","97.04","97.04","97.04","96.74","96.74","96.44","96.44","96.59","96.59","96.74","96.74","96.74","96.74","96.53","96.53","96.59","96.59","96.53","96.59","96.74","96.89","96.89","96.74","96.74","96.74","96.74","96.74","96.74","96.74","96.74","96.65","96.65","96.65","96.59","96.65","96.74","96.67","96.59","96.67","96.67","96.67","96.89","97.22","97.22","97.36","97.36","97.28","97.11","96.89","96.89","97.00","97.06","97.06","97.06","97.06","97.06","97.06","97.11","97.11","97.15","96.92","97.20","97.20","97.20","97.20","97.20","97.20","97.20","97.20","97.20","97.83","98.68","105.25","115.72","116.60","116.60","116.60","116.60","114.99","114.99","115.45","116.07","115.41","114.94","114.94","115.51","115.51","115.51","115.51","114.92","114.32","114.32","114.32","114.32","114.32","114.32","114.88","114.88","114.88","114.32","114.32","115.70","116.40","116.40","116.98","116.98","116.64","116.64","116.64","116.64","115.68","115.68","115.25","115.25","115.25","115.25","114.59","114.05","113.68","110.37","109.65","108.90","110.21","110.21","110.97","110.37","110.37","110.37","107.36","107.36","106.92","106.92","106.61","106.61","106.39","106.39","106.08","106.08","105.61","105.61","105.69","105.69","105.69","106.76","106.76","106.76","107.18","106.76","106.76","106.34","106.34","106.06","106.06","106.91","107.99","107.99","108.11","108.32","108.65","108.65","108.65","108.98","108.98","108.98","110.21","110.30","110.30","109.48","108.08","108.08","108.66","108.66","108.66","108.49","108.42","109.17","107.88","104.10","103.71","102.00","101.70","102.20","100.37","101.58","101.26","100.93","99.94","98.96","98.26","98.26","98.26","98.26","97.62","97.73","98.31","101.92","101.92","101.92","102.75","102.75","102.75","103.98","103.98","107.45","108.35","109.15","110.27","112.81","112.81","114.29","115.43","115.20","117.10","117.49","116.90","116.90","113.32","113.32","114.22","115.95","115.95","118.37","116.47","116.16","117.13","118.07","118.07","118.07","117.49","117.49","117.49","117.49","117.95","117.49","117.49","118.18","117.83","117.57","117.55","117.92","117.92","118.03","118.03","117.27","117.14","118.76","119.08","119.09","119.25","119.25","119.25","119.25","119.25","119.25"
"4.1.1.1. 생산자물가지수(기본분류)","        섬유직물","2020=100","1.5","원자료","85.81","85.94","87.99","87.94","87.87","87.31","87.25","87.26","81.60","74.90","75.19","75.65","75.30","73.63","72.38","72.92","72.27","72.14","72.12","71.97","71.96","67.36","67.20","66.90","66.77","66.78","69.16","68.62","68.27","65.93","64.99","65.09","64.87","65.61","65.27","65.19","64.53","63.30","64.98","65.55","65.29","65.24","65.12","64.73","64.48","65.36","66.14","66.17","67.34","68.41","70.67","70.69","71.05","70.94","70.92","76.05","78.10","79.26","81.01","80.95","82.64","80.37","82.00","81.84","79.16","82.15","81.98","82.72","81.84","82.02","81.75","81.40","82.47","80.93","81.17","80.94","79.71","80.32","80.88","80.45","79.85","79.17","79.49","79.61","79.93","79.79","79.80","78.83","79.19","79.34","79.39","79.92","79.61","78.60","78.83","78.84","78.96","79.31","80.63","81.11","83.79","84.71","85.16","86.45","88.85","92.13","92.81","92.25","92.00","94.83","95.22","92.09","90.65","90.52","90.56","90.19","89.74","88.66","88.59","89.27","88.91","89.82","88.92","88.83","90.40","91.50","91.23","90.55","90.06","90.13","90.96","92.36","94.34","95.81","96.40","95.83","96.59","96.63","95.71","96.06","97.74","101.49","100.98","100.76","101.48","101.20","101.18","101.51","102.08","100.74","100.17","100.15","99.66","98.61","98.15","97.68","97.50","97.76","98.64","99.24","98.69","99.05","99.21","99.50","98.55","98.41","98.25","97.52","98.83","98.75","98.38","98.40","97.66","97.54","97.14","96.72","96.77","97.15","97.35","97.69","97.24","97.13","96.71","96.35","96.69","96.94","96.75","96.79","97.12","96.92","97.54","97.83","97.89","97.96","97.47","97.48","97.02","96.66","96.55","95.61","96.16","96.67","96.91","97.69","97.99","97.99","98.05","97.44","97.45","97.43","97.58","97.29","97.41","97.32","97.61","97.27","97.10","97.19","97.29","97.22","97.20","96.70","96.75","96.91","97.13","97.49","97.97","98.13","98.89","99.20","99.34","99.26","100.11","99.87","99.31","99.90","99.96","100.08","99.84","100.31","99.92","100.09","99.74","99.76","99.77","100.13","99.97","100.17","100.13","99.78","99.77","100.78","100.57","101.33","101.73","101.81","101.91","102.52","102.22","102.33","102.37","103.27","103.81","104.40","109.19","109.42","109.50","110.47","110.78","110.73","111.68","112.22","112.64","115.40","115.60","115.60","115.82","115.61","115.65","116.83","116.83","117.06","116.66","116.72","116.72","117.22","117.25","116.98","116.62","116.84","116.76","117.19","117.14","117.48","112.77","112.80","112.84","112.86","112.83","112.53","111.54","111.46","109.10","108.78","108.79","110.71","110.31","109.44","110.56","111.09","111.17","110.86","111.55","111.75"
"4.1.1.1. 생산자물가지수(기본분류)","          천연및화학섬유직물","2020=100","1","원자료","85.68","85.87","88.00","87.96","87.96","87.43","87.37","87.38","81.61","74.78","75.08","75.55","75.23","73.53","72.25","72.80","72.13","72.01","71.99","71.84","71.82","67.13","66.97","66.77","66.63","66.64","69.07","68.51","68.19","65.80","64.84","64.94","64.72","65.47","65.13","65.05","64.38","63.13","64.82","65.41","65.15","65.10","64.96","64.57","64.32","65.22","66.00","66.05","67.23","68.33","70.63","70.65","71.02","70.90","70.93","76.16","78.25","79.42","81.21","81.15","81.68","81.88","81.80","81.93","81.92","81.93","82.08","82.11","81.80","81.82","81.60","81.94","81.90","81.45","81.52","81.20","80.87","81.20","81.12","81.43","81.30","81.30","80.88","80.85","81.14","81.15","81.33","81.05","80.91","80.91","80.88","81.25","81.15","80.79","80.79","81.10","81.14","81.20","82.46","82.51","83.01","83.63","84.49","84.74","85.22","86.18","86.52","86.47","86.38","88.18","87.69","86.74","86.50","86.60","86.61","86.54","86.23","86.50","86.57","86.83","86.26","87.12","86.96","87.34","88.89","89.49","89.43","89.10","89.03","89.68","90.81","91.93","93.95","95.13","95.69","95.81","96.96","96.80","96.46","96.45","98.02","101.65","101.33","101.51","101.93","101.71","101.81","101.81","102.22","100.84","99.80","99.54","99.68","99.27","98.83","98.58","98.49","98.67","99.57","99.89","99.62","99.62","99.84","100.10","99.59","99.62","99.53","99.37","99.72","100.23","100.22","100.06","99.45","99.40","99.40","98.77","98.75","98.97","99.23","98.96","98.66","98.07","98.07","98.04","98.04","98.04","97.60","97.86","98.07","98.08","98.39","98.39","98.39","98.37","98.48","98.48","97.88","97.77","97.50","96.66","97.46","97.97","98.01","98.53","98.70","98.64","98.74","98.45","98.36","98.35","98.51","98.48","98.45","98.38","98.51","97.73","97.84","97.91","97.91","97.97","98.01","98.04","98.04","98.03","98.41","98.42","99.04","99.05","99.05","99.33","99.55","99.81","100.15","100.33","99.48","99.81","100.02","99.96","99.81","99.90","99.79","100.05","100.09","100.01","100.01","100.11","100.01","100.01","100.01","99.55","99.55","100.83","100.83","101.58","102.14","102.42","102.42","102.95","102.95","103.09","103.09","104.50","105.06","105.82","112.37","112.72","113.04","114.02","114.15","114.16","114.40","114.66","115.27","116.62","116.80","116.80","116.91","116.91","116.91","118.20","118.20","118.34","118.41","118.41","118.41","119.09","119.09","118.80","118.46","118.46","118.46","119.23","119.23","119.26","113.16","113.16","113.16","113.18","113.18","112.81","111.11","111.47","107.76","107.64","107.64","110.27","110.27","109.78","110.16","110.52","110.52","109.75","111.00","111.00"
"4.1.1.1. 생산자물가지수(기본분류)","          기타섬유직물","2020=100","0.5","원자료","103.97","101.13","98.30","98.30","94.31","91.47","91.47","91.47","91.47","91.47","91.47","91.47","88.92","88.92","88.92","88.92","88.92","88.92","88.92","88.92","88.92","88.92","88.92","83.24","83.24","83.24","83.24","83.24","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","81.91","79.45","79.45","79.45","79.45","79.45","79.45","85.01","73.18","81.44","80.09","67.13","81.60","80.16","83.74","80.64","81.44","80.96","77.94","83.26","77.54","78.42","78.57","73.81","75.55","78.57","75.32","72.93","69.60","72.78","73.41","73.88","73.18","72.53","68.88","71.18","71.90","72.22","73.41","72.30","68.80","69.91","68.72","69.19","70.63","72.14","74.29","85.41","87.47","86.28","91.60","101.46","113.69","115.68","113.13","112.26","119.01","122.83","111.30","105.27","104.23","104.39","102.88","101.85","95.57","94.94","97.24","96.34","97.39","94.46","93.09","94.73","97.16","96.33","94.71","93.06","91.56","91.55","93.74","95.54","98.07","98.78","95.64","94.96","95.77","92.65","94.30","96.39","100.62","99.39","97.75","99.47","98.96","98.57","100.04","101.17","99.93","101.08","101.88","99.15","95.85","95.32","94.10","93.64","94.15","94.97","96.36","94.99","96.39","96.39","96.75","94.53","93.93","93.59","91.19","95.72","93.63","92.10","92.75","91.59","91.26","89.50","89.74","90.02","90.95","90.95","93.30","92.22","94.06","91.95","90.25","91.95","93.22","94.02","93.19","93.98","92.98","94.84","96.27","96.61","97.11","93.89","93.91","94.12","92.64","93.19","91.82","91.23","91.82","92.92","94.83","95.77","96.04","95.94","93.84","94.32","94.24","94.37","92.91","93.68","93.49","94.56","96.24","95.27","95.43","95.82","95.39","95.18","93.21","93.38","94.02","93.81","95.13","95.24","95.81","98.64","99.05","98.96","97.97","100.23","98.85","99.03","100.37","100.02","100.61","100.13","101.64","100.33","100.22","98.57","98.93","98.97","100.22","99.82","100.71","100.58","100.52","100.50","100.64","99.71","100.50","100.36","99.75","100.18","101.06","99.74","99.74","99.93","99.10","99.60","99.60","100.74","100.67","100.32","101.27","101.88","101.70","104.10","105.20","105.20","110.83","111.02","111.02","111.64","110.70","110.84","111.59","111.59","112.14","110.10","110.40","110.38","110.27","110.43","110.14","109.69","110.69","110.34","109.62","109.39","110.77","110.93","111.08","111.21","111.24","111.11","111.11","112.25","110.88","112.50","111.58","111.60","111.38","109.83","107.85","111.14","112.21","112.52","113.58","113.09","113.69"
